arg0 [1,1,1025,2]
/ffn/ffn.1/conv_7/Conv [1,1,64,160]
/Add_22 [1,1,64,160]
/freq_mix/freq_mix.0/conv_7/Conv/pads [1,1,66,160]
Circle.pseudo_const16 [160,1,3,160]
Initializer_onnx::Conv_810 [160]
/freq_mix/freq_mix.0/conv_7/Conv;/freq_mix/freq_mix.0/act_7/Relu [1,1,64,160]
Circle.pseudo_const15 [160,1,1,160]
Initializer_onnx::Conv_813 [160]
/freq_mix/freq_mix.1/conv_7/Conv [1,1,64,160]
/Add_23 [1,1,64,160]
Initializer_onnx::MatMul_868 [1,4,1025,16]
/Concat_7 [1,2,64,160]
Circle.pseudo_const14 [160,2,1,160]
Initializer_onnx::Conv_816 [160]
/conv_7/Conv;/act_7/Relu [1,1,64,160]
Circle.pseudo_const13 [160,1,1,160]
Initializer_onnx::Conv_819 [160]
/time_proj/conv_7/Conv [1,1,64,160]
/Add_24 [1,1,64,160]
Circle.pseudo_const12 [640,1,1,160]
Initializer_onnx::Conv_822 [640]
/ffn/ffn.0/conv_8/Conv;/ffn/ffn.0/act_8/Relu [1,1,64,640]
Circle.pseudo_const11 [160,1,1,640]
Initializer_onnx::Conv_825 [160]
/ffn/ffn.1/conv_8/Conv [1,1,64,160]
/Add_25 [1,1,64,160]
/input/conv_1/Conv/pads [1,1,66,160]
Circle.pseudo_const10 [64,1,3,160]
Initializer_onnx::Conv_828 [64]
/input/conv_1/Conv;/input/act_1/Relu [1,1,64,64]
Circle.pseudo_const9 [64,1,1,64]
/key_proj_1/Conv [1,1,64,64]
/key_proj_1/Conv/post_tr [1,64,1,64]
Circle.pseudo_const1 [4]
/Reshape_3 [1,4,16,64]
/MatMul_2 [1,4,1025,64]
Initializer_onnx::Add_870_NHWC_r_transposed [1,4,1025,64]
/Add_26 [1,4,1025,64]
/Softmax_1 [1,4,1025,64]
Circle.pseudo_const8 [64,1,1,64]
/value_proj_1/Conv [1,1,64,64]
/value_proj_1/Conv/post_tr [1,64,1,64]
/Reshape_4 [1,4,16,64]
/Transpose_2 [1,4,64,16]
/MatMul_3 [1,4,1025,16]
/Transpose_3 [1,4,16,1025]
Circle.pseudo_const [4]
/Reshape_5 [1,64,1,1025]
/aggregate/conv_1/Conv/pre_tr [1,1,1025,64]
Circle.pseudo_const7 [64,1,1,64]
Initializer_onnx::Conv_831 [64]
/aggregate/conv_1/Conv [1,1,1025,64]
Circle.pseudo_const6 [128,1,1,64]
Initializer_onnx::Conv_834 [128]
/ffn/ffn.0/conv_9/Conv;/ffn/ffn.0/act_9/Relu [1,1,1025,128]
Circle.pseudo_const5 [64,1,1,128]
Initializer_onnx::Conv_837 [64]
/ffn/ffn.1/conv_9/Conv [1,1,1025,64]
/Add_27 [1,1,1025,64]
/output/Conv/pads [1,1,1027,64]
Circle.pseudo_const4 [6,1,3,64]
Initializer_core.decoder.output.bias [6]
/output/Conv [1,1,1025,6]
