rank,score,name,op,depth,rough_ops,latency_risk,boundary_risk,qerror,eligible,output_shape,producers,consumers,reasons
109,-1028.939,/Reshape_4,RESHAPE,103,1152,9.434,25.000,0,0,1x4x8x36,112,121,late-stage node; memory/shape op: avoid isolated int16; excluded op type
110,-1028.939,/Reshape_3,RESHAPE,103,1152,9.434,25.000,0,0,1x4x8x36,115,117,late-stage node; memory/shape op: avoid isolated int16; excluded op type
111,-1029.993,/input/conv_1/Conv/pads,PAD,99,4864,11.351,25.000,0,0,1x1x38x128,108,110,late-stage node; memory/shape op: avoid isolated int16; excluded op type
112,-1031.395,/Reshape_5,RESHAPE,109,32800,13.899,25.000,0,0,1x32x1x1025,121,123,late-stage node; memory/shape op: avoid isolated int16; excluded op type
113,-1032.939,/aggregate/conv/Conv/pre_tr,TRANSPOSE,12,1152,9.434,17.000,0,0,1x1x36x32,13,15,memory/shape op: avoid isolated int16; excluded op type
114,-1036.500,/Transpose,TRANSPOSE,9,147600,15.910,17.000,0,0,1x4x1025x36,10,12,memory/shape op: avoid isolated int16; excluded op type
115,-1037.486,/input/conv/Conv/pads,PAD,1,2054,10.202,22.500,0,0,1x1x1027x2,,1,memory/shape op: avoid isolated int16; excluded op type
116,-1038.939,/Reshape_2,RESHAPE,11,1152,9.434,25.000,0,0,1x32x1x36,12,14,memory/shape op: avoid isolated int16; excluded op type
117,-1040.194,/freq_path/pre_ffn/axis_mix/conv/Conv/pads,PAD,19,6400,11.717,25.000,0,0,1x1x50x128,20,22,memory/shape op: avoid isolated int16; excluded op type
118,-1040.194,/freq_path/mixer/axis_mix/conv/Conv/pads,PAD,27,6400,11.717,25.000,0,0,1x1x50x128,29,31,memory/shape op: avoid isolated int16; excluded op type
119,-1040.194,/freq_path/post_ffn/axis_mix/conv/Conv/pads,PAD,31,6400,11.717,25.000,0,0,1x1x50x128,33,35,memory/shape op: avoid isolated int16; excluded op type
120,-1040.194,/freq_path/pre_ffn/axis_mix/conv_1/Conv/pads,PAD,59,6400,11.717,25.000,0,0,1x1x50x128,64,66,memory/shape op: avoid isolated int16; excluded op type
121,-1040.194,/freq_path/mixer/axis_mix/conv_1/Conv/pads,PAD,67,6400,11.717,25.000,0,0,1x1x50x128,73,75,memory/shape op: avoid isolated int16; excluded op type
122,-1040.194,/freq_path/post_ffn/axis_mix/conv_1/Conv/pads,PAD,71,6400,11.717,25.000,0,0,1x1x50x128,77,79,memory/shape op: avoid isolated int16; excluded op type
123,-1040.462,/Concat,CONCATENATION,39,9216,12.204,25.000,0,0,1x2x36x128,42,44,memory/shape op: avoid isolated int16; excluded op type
124,-1040.462,/Concat_1,CONCATENATION,47,9216,12.204,25.000,0,0,1x2x36x128,51,53,memory/shape op: avoid isolated int16; excluded op type
125,-1040.462,/Concat_2,CONCATENATION,51,9216,12.204,25.000,0,0,1x2x36x128,55,57,memory/shape op: avoid isolated int16; excluded op type
126,-1040.462,/Concat_3,CONCATENATION,79,9216,12.204,25.000,0,0,1x2x36x128,86,88,memory/shape op: avoid isolated int16; excluded op type
127,-1040.462,/Concat_4,CONCATENATION,87,9216,12.204,25.000,0,0,1x2x36x128,95,97,memory/shape op: avoid isolated int16; excluded op type
128,-1040.462,/Concat_5,CONCATENATION,91,9216,12.204,25.000,0,0,1x2x36x128,99,101,memory/shape op: avoid isolated int16; excluded op type
129,-1041.395,/Reshape_1,RESHAPE,5,32800,13.899,25.000,0,0,1x4x8x1025,3,12,memory/shape op: avoid isolated int16; excluded op type
130,-1041.395,/Reshape,RESHAPE,5,32800,13.899,25.000,0,0,1x4x8x1025,6,8,memory/shape op: avoid isolated int16; excluded op type
